"id","details","operator","operator_circle","price","validity","categories"
174,"STV for Prepaid Intl Roaming.100min Mobile Oriqinated Call(Local).100min Mobile Originated Call to lndia.100min Mobile Terminated Call.Data 500MB.Please activate IR STV 57 before activation of this STV for enabling Intl Roaming facility.To avail Intl Roaming services it is is mandatory to replace Normal SIM with Intl Roaming SIM and recharge of IR STV 57 or 167.(SriLanka,Canada Pack)",BSNL Mobile,andra-pradesh-telangana,"3495","7 days",International_roaming
175,Free Data/Data Charges : 1.5GB/after freebies data to be charged @ Rs.0.65/MB.Free Voice/Voice Charges : 140 Free mins to India/Local outgoing and incoming and 50 sms free.Outgoing SMS charges beyond free SMS @ Rs.3.9/SMS.Call back to India Rs.15.6/min.Outgoing Local Call Rs.5.2/min.Outgoing Intl Rs.52/min.Incoming call Rs.11/min.Outgoing SMS Rs.3.9/SMS.To avail Intl Roaming services it is is mandatory to replace Normal SIM with Intl Roaming SIM and recharge of IR STV 57 or 167.,BSNL Mobile,andra-pradesh-telangana,"3905","28 days","Combo,Truly_unlimited,International_roaming"
176,Intl Roaming STV for Bhutan.(This pack is valid for roaming into network of M/s B Mobile in Bhutan.).Free Data/ Data Charges 1GB after:- free Data to be charged at Rs.1.3/MB.Free Voice/ Voice charges:-260 Free Mins to India and local outgoing and incoming.100 Free SMS.call back to India Rs 10.4/min.Outgoing Local call Rs 10.4/min.Outgoing Intl Rs 54.6/min.Incoming call Rs 4.1/min.Outgoing SMS Rs2/SMS.To avail Intl Roaming services it is is mandatory to replace Normal SIM with Intl Roaming SIM and recharge of IR STV 57 or 167.,BSNL Mobile,andra-pradesh-telangana,"4865","28 days",International_roaming
177,Talktime: Rs.5000.0 | Validity: Existing Plan | For users with an active base plan.,BSNL Mobile,andra-pradesh-telangana,"5000",N.A.,Talktime
178,Talktime: Rs 7.47 Validity: Unlimited Talktime can also be used for International Services,Jio,andra-pradesh-telangana,"10",N.A.,Talktime
179,Data: 1 GB Validity: Existing Plan For users with an active validity plan,Jio,andra-pradesh-telangana,"15",N.A.,Data
180,Data: 1.5 GB Validity: Existing Plan For users with an active validity plan,Jio,andra-pradesh-telangana,"19",N.A.,Data
181,Talktime: Rs 14.95 Validity: Unlimited Talktime can also be used for International Services,Jio,andra-pradesh-telangana,"20",N.A.,Talktime
182,Data: 2 GB Validity: Existing Plan For users with an active validity plan,Jio,andra-pradesh-telangana,"25",N.A.,Data
183,For JioPhone Customers only Data: 2 GB Voice : NA SMS : NA Validity: 28 Days,Jio,andra-pradesh-telangana,"26","28 days",Jio_phone
184,Data: 2.5 GB Validity: Existing Plan For users with an active validity plan,Jio,andra-pradesh-telangana,"29",N.A.,Data
185,Talktime: Rs 39.37 Validity: Unlimited Talktime can also be used for International Services,Jio,andra-pradesh-telangana,"50",N.A.,Talktime
186,Data: 6 GB Validity: Existing Plan For users with an active validity plan,Jio,andra-pradesh-telangana,"61",N.A.,Data
187,For JioPhone Customers only Data: 6 GB Voice : NA SMS : NA Validity: 28 Days,Jio,andra-pradesh-telangana,"62","28 days",Jio_phone
188,For JioPhone Customers only Data: 2.5GB (0.1GB/day + 200MB) Voice: Unlimited Calls SMS : 50 Validity : 23 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"75","23 days",Jio_phone
189,For JioPhone Customers only Data: 0.5 GB/Day Voice : NA SMS : NA Validity: 28 days,Jio,andra-pradesh-telangana,"86","28 days",Jio_phone
190,For JioPhone Customers only Data: 3GB (0.1GB/day + 200MB) Voice: Unlimited Calls SMS : 50 Validity : 28 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"91","28 days",Jio_phone
191,Talktime: Rs 81.75 Validity: Unlimited Talktime can also be used for International Services,Jio,andra-pradesh-telangana,"100",N.A.,Talktime
192,Data: 12 GB Validity: Existing Plan For users with an active validity plan,Jio,andra-pradesh-telangana,"121",N.A.,Data
193,For JioPhone Customers only Data: 1 GB/Day Voice : NA SMS : NA Validity: 28 Days,Jio,andra-pradesh-telangana,"122","28 days",Jio_phone
194,For JioPhone Customers only Data: 0.5GB/day Voice: Unlimited Calls SMS : 300 Validity :23 days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"125","23 days",Jio_phone
195,Data: 1 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity : 20 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"149","20 days","Data,Jio_apps"
196,For JioPhone Customers only Data: 0.5GB/day Voice: Unlimited Calls SMS : 300 Validity : 28 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"152","28 days",Jio_phone
197,Data: 1 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity : 24 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"179","24 days","Combo,Truly_unlimited,Jio_apps"
198,Data: 30 GB Voice : NA SMS : NA Validity: 30 Days,Jio,andra-pradesh-telangana,"181","30 days",Data
199,For JioPhone Customers only Data: 2 GB/Day Voice : NA SMS : NA Validity: 28 Days,Jio,andra-pradesh-telangana,"182","28 days",Jio_phone
200,For JioPhone Customers only Data: 1 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity : 28 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"186","28 days",Jio_phone
201,"Data: 1.5 GB/day, Voice: Unlimited Calls, SMS : 100 SMS/day Validity : 23 Days Complimentary subscription to Jio Apps Dont miss! Recharge with Rs.249 Plan & get 20% upto Rs.200 Cashback from JioMart",Jio,andra-pradesh-telangana,"199","23 days","Truly_unlimited,Jio_apps"
202,Data: 3 GB/day + 2 GB Voice: Unlimited Calls SMS : 100 SMS/day Validity: 14 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"219","14 days","Truly_unlimited,Jio_apps"
203,Data: 50 GB Voice : NA SMS : NA For users with an active validity Plan,Jio,andra-pradesh-telangana,"222",N.A.,Data
204,For JioPhone Customers only: Data: 56 GB (2GB/Day ) Voice: Unlimited Calls SMS : 100 SMS/day Validity: 28 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"223","28 days",Jio_phone
205,"Data: 1.5 GB/day, Voice: Unlimited Calls SMS : 100 SMS/day Validity : 28 Days Complimentary subscription to Jio Apps",Jio,andra-pradesh-telangana,"239","28 days","Truly_unlimited,Jio_apps"
206,Data: 40 GB Voice : NA SMS : NA Validity: 30 Days,Jio,andra-pradesh-telangana,"241","30 days",Data
207,Data: 2 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity : 23 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"249","23 days","Combo,Truly_unlimited,Jio_apps"
208,"Data: 1.5 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity : 1 Month Complimentary subscription to Jio AppsNote: The New plan has CALENDAR MONTH VALIDITY, PLAN RENEWS ON THE SAME DATE EVERY MONTH",Jio,andra-pradesh-telangana,"259","32 days","Truly_unlimited,Jio_apps"
209,Data: 1.5 GB/Day Voice: Unlimited Calls SMS : 100 SMS/day Validity: 28 Days Subscription to JioSaavn Pro Complimentary subscription to Jio Apps Note - To activate JioSaavn Pro subscription login to JioSaavn app with your Jio number,Jio,andra-pradesh-telangana,"269","28 days","Truly_unlimited,Jio_apps"
210,Data: 25 GB Voice: Unlimited Calls SMS : 100 SMS/day Validity: 30 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"296","30 days","Combo,Truly_unlimited,Jio_apps"
211,"Data: 2 GB/day, Voice: Unlimited Calls SMS : 100 SMS/day Validity : 28 Days Complimentary subscription to Jio Apps",Jio,andra-pradesh-telangana,"299","28 days","Truly_unlimited,Jio_apps"
